Resolution,PeakDate,TroughDate,Severity(Sigma),Amplitude(%),Duration(Hours),Velocity(%/Hour)
Daily,2023-11-15 00:00:00,2023-11-16 00:00:00,2.0,-4.585095799898142,24.0,-0.19104565832908926
Daily,2023-12-08 00:00:00,2023-12-09 00:00:00,2.5,-1.0636154777668438,24.0,-0.04431731157361849
Daily,2024-01-02 00:00:00,2024-01-03 00:00:00,2.0,-4.7196033087254285,24.0,-0.19665013786355953
Daily,2024-01-08 00:00:00,2024-01-09 00:00:00,3.0,-1.8316897002302768,24.0,-0.07632040417626153
Daily,2024-01-08 00:00:00,2024-01-09 00:00:00,2.0,-1.8316897002302768,24.0,-0.07632040417626153
Daily,2024-03-04 00:00:00,2024-03-05 00:00:00,2.5,-6.616795783563689,24.0,-0.2756998243151537
Daily,2024-03-13 00:00:00,2024-03-14 00:00:00,2.5,-2.341466618501853,24.0,-0.09756110910424387
Daily,2024-03-13 00:00:00,2024-03-14 00:00:00,2.0,-2.341466618501853,24.0,-0.09756110910424387
Daily,2024-04-08 00:00:00,2024-04-09 00:00:00,2.0,-3.475366364270771,24.0,-0.14480693184461546
Daily,2024-05-20 00:00:00,2024-05-21 00:00:00,2.5,-1.768706911400808,24.0,-0.073696121308367
Daily,2024-11-22 00:00:00,2024-11-23 00:00:00,2.0,-1.2534343434343342,24.0,-0.05222643097643059
Daily,2024-12-17 00:00:00,2024-12-30 00:00:00,2.0,-12.755871538804286,312.0,-0.04088420365001374
Daily,2024-12-17 00:00:00,2024-12-30 00:00:00,2.0,-12.755871538804286,312.0,-0.04088420365001374
Daily,2025-01-21 00:00:00,2025-01-22 00:00:00,2.0,-2.3683437136172047,24.0,-0.09868098806738353
Daily,2025-01-21 00:00:00,2025-01-22 00:00:00,3.0,-2.3683437136172047,24.0,-0.09868098806738353
Hourly,2025-07-03 13:00:00,2025-07-03 14:00:00,2.0,-0.46016511540396543,1.0,-0.46016511540396543
Hourly,2025-07-03 13:00:00,2025-07-03 14:00:00,2.5,-0.46016511540396543,1.0,-0.46016511540396543
Hourly,2025-07-09 19:00:00,2025-07-09 20:00:00,3.0,-0.8584655409658026,1.0,-0.8584655409658026
Hourly,2025-07-11 09:00:00,2025-07-11 10:00:00,2.0,-0.4310541248031652,1.0,-0.4310541248031652
Hourly,2025-07-14 07:00:00,2025-07-14 08:00:00,3.5,-0.16531794168163083,1.0,-0.16531794168163083
Hourly,2025-07-14 07:00:00,2025-07-14 08:00:00,2.0,-0.16531794168163083,1.0,-0.16531794168163083
Hourly,2025-07-18 05:00:00,2025-07-18 06:00:00,2.5,-0.25812505387966533,1.0,-0.25812505387966533
Hourly,2025-07-18 05:00:00,2025-07-18 06:00:00,2.0,-0.25812505387966533,1.0,-0.25812505387966533
Hourly,2025-07-18 05:00:00,2025-07-18 06:00:00,3.0,-0.25812505387966533,1.0,-0.25812505387966533
Hourly,2025-07-22 23:00:00,2025-07-23 00:00:00,2.0,-0.3264778812694047,1.0,-0.3264778812694047
15-Minute,2025-07-24 19:00:00,2025-07-24 19:15:00,3.5,-0.13803096483476773,0.25,-0.5521238593390709
Hourly,2025-07-27 22:00:00,2025-07-27 23:00:00,3.5,-0.13968990679816828,1.0,-0.13968990679816828
