PeakDate,TroughDate,Severity(Sigma),PeakPrice,TroughPrice,Amplitude(%),Duration(Hours),Velocity(%/Hour),Month
2025-07-03 13:00:00,2025-07-03 14:00:00,2.5,110286.5,109779.0,-0.46016511540396543,1.0,-0.46016511540396543,2025-07
2025-07-09 19:00:00,2025-07-09 20:00:00,3.0,111699.3,110740.4,-0.8584655409658026,1.0,-0.8584655409658026,2025-07
2025-07-11 09:00:00,2025-07-11 10:00:00,2.0,118500.2,117989.4,-0.4310541248031652,1.0,-0.4310541248031652,2025-07
2025-07-14 07:00:00,2025-07-14 08:00:00,3.5,122733.2,122530.3,-0.16531794168163083,1.0,-0.16531794168163083,2025-07
2025-07-14 07:00:00,2025-07-14 08:00:00,2.0,122733.2,122530.3,-0.16531794168163083,1.0,-0.16531794168163083,2025-07
2025-07-18 05:00:00,2025-07-18 06:00:00,2.5,120639.2,120327.8,-0.25812505387966533,1.0,-0.25812505387966533,2025-07
2025-07-18 05:00:00,2025-07-18 06:00:00,2.0,120639.2,120327.8,-0.25812505387966533,1.0,-0.25812505387966533,2025-07
2025-07-18 05:00:00,2025-07-18 06:00:00,3.0,120639.2,120327.8,-0.25812505387966533,1.0,-0.25812505387966533,2025-07
2025-07-22 23:00:00,2025-07-23 00:00:00,2.0,119977.5,119585.8,-0.3264778812694047,1.0,-0.3264778812694047,2025-07
2025-07-27 22:00:00,2025-07-27 23:00:00,3.5,119622.1,119455.0,-0.13968990679816828,1.0,-0.13968990679816828,2025-07
